,Weekday,hour_bin,wait_time,count
0,0.0,0.0,604,100.0
1,0.0,1.0,509,32.0
2,0.0,2.0,266,11.0
3,0.0,3.0,123,2.0
4,0.0,4.0,259,2.0
5,0.0,5.0,383,4.0
6,0.0,6.0,383,0.0
7,0.0,7.0,889,27.0
8,0.0,8.0,533,35.0
9,0.0,9.0,455,78.0
10,0.0,10.0,500,98.0
11,0.0,11.0,360,85.0
12,0.0,12.0,592,80.0
13,0.0,13.0,635,97.0
14,0.0,14.0,707,198.0
15,0.0,15.0,645,61.0
16,0.0,16.0,578,524.0
17,0.0,17.0,407,803.0
18,0.0,18.0,609,674.0
19,0.0,19.0,680,455.0
20,0.0,20.0,793,212.0
21,0.0,21.0,907,3.0
22,0.0,22.0,615,20.0
23,0.0,23.0,1151,2.0
24,1.0,0.0,608,97.0
25,1.0,1.0,592,38.0
26,1.0,2.0,634,12.0
27,1.0,3.0,1173,2.0
28,1.0,4.0,1192,3.0
29,1.0,5.0,1324,3.0
30,1.0,6.0,987,1.0
31,1.0,7.0,903,39.0
32,1.0,8.0,716,142.0
33,1.0,9.0,703,523.0
34,1.0,10.0,551,1510.0
35,1.0,11.0,693,965.0
36,1.0,12.0,649,763.0
37,1.0,13.0,814,377.0
38,1.0,14.0,646,80.0
39,1.0,15.0,1125,119.0
40,1.0,16.0,2073,8.0
41,1.0,17.0,751,208.0
42,1.0,18.0,633,189.0
43,1.0,19.0,802,109.0
44,1.0,20.0,960,118.0
45,1.0,21.0,3557,1.0
46,1.0,22.0,783,17.0
47,1.0,23.0,872,10.0
48,2.0,0.0,588,82.0
49,2.0,1.0,417,27.0
50,2.0,2.0,677,4.0
51,2.0,3.0,441,11.0
52,2.0,4.0,458,9.0
53,2.0,5.0,703,10.0
54,2.0,6.0,664,1.0
55,2.0,7.0,1296,3.0
56,2.0,8.0,753,98.0
57,2.0,9.0,479,1311.0
58,2.0,10.0,580,985.0
59,2.0,11.0,616,1293.0
60,2.0,12.0,682,700.0
61,2.0,13.0,673,214.0
62,2.0,14.0,589,51.0
63,2.0,15.0,809,45.0
64,2.0,16.0,2181,4.0
65,2.0,17.0,664,204.0
66,2.0,18.0,574,182.0
67,2.0,19.0,704,262.0
68,2.0,20.0,628,51.0
69,2.0,21.0,442,4.0
70,2.0,22.0,562,3.0
71,2.0,23.0,471,3.0
72,3.0,0.0,768,52.0
73,3.0,1.0,355,9.0
74,3.0,2.0,295,3.0
75,3.0,3.0,522,1.0
76,3.0,4.0,730,1.0
77,3.0,5.0,911,2.0
78,3.0,6.0,1141,2.0
79,3.0,7.0,1229,7.0
80,3.0,8.0,262,32.0
81,3.0,9.0,761,153.0
82,3.0,10.0,723,238.0
83,3.0,11.0,215,62.0
84,3.0,12.0,253,40.0
85,3.0,13.0,663,97.0
86,3.0,14.0,693,161.0
87,3.0,15.0,340,43.0
88,3.0,16.0,495,169.0
89,3.0,17.0,583,699.0
90,3.0,18.0,610,465.0
91,3.0,19.0,711,47.0
92,3.0,20.0,462,13.0
93,3.0,21.0,827,39.0
94,3.0,22.0,484,3.0
95,3.0,23.0,828,2.0
96,4.0,0.0,688,40.0
97,4.0,1.0,760,9.0
98,4.0,2.0,613,3.0
99,4.0,3.0,346,2.0
100,4.0,4.0,482,1.0
101,4.0,5.0,482,0.0
102,4.0,6.0,482,0.0
103,4.0,7.0,809,4.0
104,4.0,8.0,728,148.0
105,4.0,9.0,853,113.0
106,4.0,10.0,750,168.0
107,4.0,11.0,511,41.0
108,4.0,12.0,651,70.0
109,4.0,13.0,3093,3.0
110,4.0,14.0,512,4.0
111,4.0,15.0,512,0.0
112,4.0,16.0,512,0.0
113,4.0,17.0,512,0.0
114,4.0,18.0,512,0.0
115,4.0,19.0,512,0.0
116,4.0,20.0,512,0.0
117,4.0,21.0,512,0.0
118,4.0,22.0,512,0.0
119,4.0,23.0,512,0.0
120,5.0,0.0,512,0.0
121,5.0,1.0,512,0.0
122,5.0,2.0,512,0.0
123,5.0,3.0,512,0.0
124,5.0,4.0,512,0.0
125,5.0,5.0,512,0.0
126,5.0,6.0,512,0.0
127,5.0,7.0,512,0.0
128,5.0,8.0,512,0.0
129,5.0,9.0,512,0.0
130,5.0,10.0,512,0.0
131,5.0,11.0,512,0.0
132,5.0,12.0,37,2.0
133,5.0,13.0,37,0.0
134,5.0,14.0,37,0.0
135,5.0,15.0,37,0.0
136,5.0,16.0,37,0.0
137,5.0,17.0,37,0.0
138,5.0,18.0,37,0.0
139,5.0,19.0,37,0.0
140,5.0,20.0,802,223.0
141,5.0,21.0,621,3.0
142,5.0,22.0,181,9.0
143,5.0,23.0,714,61.0
144,6.0,0.0,666,96.0
145,6.0,1.0,428,74.0
146,6.0,2.0,689,9.0
147,6.0,3.0,689,0.0
148,6.0,4.0,689,0.0
149,6.0,5.0,1114,3.0
150,6.0,6.0,1114,0.0
151,6.0,7.0,932,36.0
152,6.0,8.0,712,85.0
153,6.0,9.0,916,227.0
154,6.0,10.0,838,388.0
155,6.0,11.0,318,58.0
156,6.0,12.0,359,72.0
157,6.0,13.0,537,77.0
158,6.0,14.0,544,23.0
159,6.0,15.0,1014,82.0
160,6.0,16.0,991,41.0
161,6.0,17.0,1103,98.0
162,6.0,18.0,742,381.0
163,6.0,19.0,756,436.0
164,6.0,20.0,653,310.0
165,6.0,21.0,960,8.0
166,6.0,22.0,809,7.0
167,6.0,23.0,310,3.0
