,Weekday,hour_bin,private,std_private,not_private,std_not_private,ratio_private,ratio_not_private
0,0,0,148,11,0,0,100,0
1,0,1,65,5,0,0,100,0
2,0,2,38,9,0,0,100,0
3,0,3,34,5,0,0,100,0
4,0,4,35,14,0,0,100,0
5,0,5,64,18,0,0,100,0
6,0,6,199,47,0,0,100,0
7,0,7,618,109,5,3,99.19743178,0.802568218
8,0,8,1850,201,54,10,97.16386555,2.836134454
9,0,9,2890,149,266,38,91.57160963,8.428390368
10,0,10,3112,132,302,54,91.15407147,8.84592853
11,0,11,2930,198,270,30,91.5625,8.4375
12,0,12,2655,111,211,39,92.63782275,7.362177251
13,0,13,2266,191,227,42,90.89450461,9.105495387
14,0,14,2040,129,232,41,89.78873239,10.21126761
15,0,15,1833,121,230,32,88.85118759,11.14881241
16,0,16,2178,218,277,24,88.71690428,11.28309572
17,0,17,1960,137,158,63,92.5401322,7.4598678
18,0,18,1424,220,18,4,98.7517337,1.248266297
19,0,19,1046,166,13,4,98.77242682,1.227573182
20,0,20,824,138,9,5,98.91956783,1.080432173
21,0,21,601,93,7,1,98.84868421,1.151315789
22,0,22,436,59,8,4,98.1981982,1.801801802
23,0,23,278,19,2,1,99.28571429,0.714285714
24,1,0,136,19,0,0,100,0
25,1,1,71,7,0,0,100,0
26,1,2,43,11,0,0,100,0
27,1,3,26,7,0,0,100,0
28,1,4,40,24,0,0,100,0
29,1,5,68,38,0,0,100,0
30,1,6,186,80,1,1,99.46524064,0.534759358
31,1,7,581,190,4,2,99.31623932,0.683760684
32,1,8,1703,295,55,10,96.87144482,3.128555176
33,1,9,2823,600,214,63,92.9535726,7.046427395
34,1,10,2931,517,242,38,92.37314844,7.62685156
35,1,11,3084,466,237,9,92.8635953,7.136404697
36,1,12,2843,375,200,42,93.42753861,6.572461387
37,1,13,2270,259,185,32,92.46435845,7.535641548
38,1,14,1851,229,180,38,91.13737075,8.862629247
39,1,15,1628,228,203,20,88.91316221,11.08683779
40,1,16,1608,179,260,24,86.08137045,13.91862955
41,1,17,1530,159,186,12,89.16083916,10.83916084
42,1,18,1130,146,12,4,98.94921191,1.050788091
43,1,19,943,149,13,8,98.64016736,1.359832636
44,1,20,773,124,11,5,98.59693878,1.403061224
45,1,21,558,105,5,3,99.11190053,0.888099467
46,1,22,406,64,5,3,98.78345499,1.216545012
47,1,23,250,23,2,1,99.20634921,0.793650794
48,2,0,115,20,0,0,100,0
49,2,1,69,25,0,0,100,0
50,2,2,43,15,0,0,100,0
51,2,3,31,5,0,0,100,0
52,2,4,34,6,0,0,100,0
53,2,5,62,25,0,0,100,0
54,2,6,183,71,0,0,100,0
55,2,7,542,159,2,1,99.63235294,0.367647059
56,2,8,1684,375,48,4,97.22863741,2.771362587
57,2,9,2830,457,257,25,91.67476514,8.325234856
58,2,10,2958,407,265,43,91.77784673,8.222153273
59,2,11,2960,454,224,20,92.96482412,7.035175879
60,2,12,2633,423,192,20,93.20353982,6.796460177
61,2,13,2211,303,190,27,92.08663057,7.913369429
62,2,14,1756,268,186,24,90.42224511,9.577754892
63,2,15,1570,192,205,27,88.45070423,11.54929577
64,2,16,1534,185,266,50,85.22222222,14.77777778
65,2,17,1478,204,166,32,89.9026764,10.0973236
66,2,18,1070,197,16,5,98.5267035,1.473296501
67,2,19,936,177,10,3,98.94291755,1.057082452
68,2,20,777,134,9,3,98.85496183,1.145038168
69,2,21,498,94,7,2,98.61386139,1.386138614
70,2,22,416,84,3,2,99.28400955,0.715990453
71,2,23,272,43,3,2,98.90909091,1.090909091
72,3,0,137,35,1,1,99.27536232,0.724637681
73,3,1,65,15,0,0,100,0
74,3,2,44,28,0,0,100,0
75,3,3,28,10,0,0,100,0
76,3,4,29,15,0,0,100,0
77,3,5,63,40,0,0,100,0
78,3,6,191,98,1,1,99.47916667,0.520833333
79,3,7,560,209,3,1,99.46714032,0.53285968
80,3,8,1715,508,59,7,96.67418264,3.325817362
81,3,9,2770,557,276,17,90.93893631,9.06106369
82,3,10,2973,475,280,14,91.39256071,8.607439287
83,3,11,2906,438,267,38,91.58525055,8.414749448
84,3,12,2601,432,220,16,92.20134704,7.79865296
85,3,13,2205,309,214,39,91.15336916,8.846630839
86,3,14,1940,426,236,69,89.15441176,10.84558824
87,3,15,1863,347,242,49,88.50356295,11.49643705
88,3,16,2248,490,279,32,88.95924021,11.04075979
89,3,17,2191,497,207,21,91.36780651,8.632193495
90,3,18,1404,340,17,7,98.80365939,1.196340605
91,3,19,923,196,8,4,99.14070892,0.859291085
92,3,20,688,147,7,2,98.99280576,1.007194245
93,3,21,532,127,6,4,98.88475836,1.115241636
94,3,22,376,82,6,1,98.42931937,1.570680628
95,3,23,247,56,3,2,98.8,1.2
96,4,0,123,30,1,1,99.19354839,0.806451613
97,4,1,63,11,0,0,100,0
98,4,2,44,17,0,0,100,0
99,4,3,28,8,0,0,100,0
100,4,4,30,15,0,0,100,0
101,4,5,49,23,0,0,100,0
102,4,6,138,55,0,0,100,0
103,4,7,362,109,1,1,99.72451791,0.275482094
104,4,8,1162,246,22,5,98.14189189,1.858108108
105,4,9,1621,389,32,10,98.06412583,1.935874168
106,4,10,1672,433,30,5,98.2373678,1.762632197
107,4,11,1548,384,33,11,97.91271347,2.087286528
108,4,12,1077,288,24,6,97.82016349,2.179836512
109,4,13,710,180,13,3,98.20193638,1.798063624
110,4,14,490,126,7,4,98.5915493,1.408450704
111,4,15,0,0,0,0,#DIV/0!,#DIV/0!
112,4,16,0,0,0,0,#DIV/0!,#DIV/0!
113,4,17,1,1,0,0,100,0
114,4,18,0,0,0,0,#DIV/0!,#DIV/0!
115,4,19,0,0,0,0,#DIV/0!,#DIV/0!
116,4,20,0,0,0,0,#DIV/0!,#DIV/0!
117,4,21,0,0,0,0,#DIV/0!,#DIV/0!
118,4,22,0,0,0,0,#DIV/0!,#DIV/0!
119,4,23,0,0,0,0,#DIV/0!,#DIV/0!
120,5,0,0,0,0,0,#DIV/0!,#DIV/0!
121,5,1,0,0,0,0,#DIV/0!,#DIV/0!
122,5,2,0,0,0,0,#DIV/0!,#DIV/0!
123,5,3,0,0,0,0,#DIV/0!,#DIV/0!
124,5,4,0,0,0,0,#DIV/0!,#DIV/0!
125,5,5,0,0,0,0,#DIV/0!,#DIV/0!
126,5,6,0,0,0,0,#DIV/0!,#DIV/0!
127,5,7,0,0,0,0,#DIV/0!,#DIV/0!
128,5,8,0,0,0,0,#DIV/0!,#DIV/0!
129,5,9,0,0,0,0,#DIV/0!,#DIV/0!
130,5,10,0,0,0,0,#DIV/0!,#DIV/0!
131,5,11,0,1,0,0,#DIV/0!,#DIV/0!
132,5,12,1,1,0,0,100,0
133,5,13,0,0,0,0,#DIV/0!,#DIV/0!
134,5,14,0,0,0,0,#DIV/0!,#DIV/0!
135,5,15,0,0,0,0,#DIV/0!,#DIV/0!
136,5,16,0,0,0,0,#DIV/0!,#DIV/0!
137,5,17,0,0,0,0,#DIV/0!,#DIV/0!
138,5,18,0,0,0,0,#DIV/0!,#DIV/0!
139,5,19,128,49,0,0,100,0
140,5,20,940,151,27,21,97.20785936,2.792140641
141,5,21,539,106,16,16,97.11711712,2.882882883
142,5,22,409,73,12,11,97.14964371,2.850356295
143,5,23,248,35,6,5,97.63779528,2.362204724
144,6,0,111,51,0,1,100,0
145,6,1,85,14,0,0,100,0
146,6,2,36,9,0,0,100,0
147,6,3,21,3,0,0,100,0
148,6,4,29,7,0,0,100,0
149,6,5,44,6,0,0,100,0
150,6,6,160,28,0,0,100,0
151,6,7,600,114,3,3,99.50248756,0.497512438
152,6,8,2039,341,42,8,97.98173955,2.018260452
153,6,9,3181,398,291,47,91.61866359,8.381336406
154,6,10,3458,502,298,32,92.06602769,7.933972311
155,6,11,3224,442,247,28,92.88389513,7.116104869
156,6,12,2932,391,260,38,91.85463659,8.145363409
157,6,13,2538,335,230,33,91.69075145,8.309248555
158,6,14,2117,214,198,30,91.44708423,8.552915767
159,6,15,1722,212,208,36,89.22279793,10.77720207
160,6,16,1638,182,249,19,86.80445151,13.19554849
161,6,17,1600,183,176,13,90.09009009,9.90990991
162,6,18,1214,135,15,8,98.77949552,1.220504475
163,6,19,1047,120,15,3,98.58757062,1.412429379
164,6,20,878,108,10,4,98.87387387,1.126126126
165,6,21,606,81,12,4,98.05825243,1.941747573
166,6,22,386,49,5,5,98.72122762,1.278772379
167,6,23,223,13,4,2,98.23788546,1.762114537
